"Age","Year","M_minus_F","MF_ratio"
"65+",1953,4127,1.7452148790177
"65+",1954,4781,1.82701954679121
"65+",1955,5329,1.9098514597917
"65+",1956,5627,1.92549342105263
"65+",1957,5424,1.91761123329386
"65+",1958,5527,1.91749667994688
"65+",1959,5998,1.97750977835724
"65+",1960,6644,2.06833896124779
"65+",1961,6780,2.05854800936768
"65+",1962,7352,2.07611241217799
"65+",1963,7860,2.16634515506752
"65+",1964,7840,2.13953488372093
"65+",1965,8057,2.15050692560331
"65+",1966,7454,1.99267545611932
"65+",1967,7926,2.05161204723365
"65+",1968,8661,2.02303330970943
"65+",1969,8846,2.02419821697349
"65+",1970,9156,2.02096342551293
"65+",1971,9838,2.02159916926272
"65+",1972,10122,1.97261458633612
"65+",1973,10248,1.93768871808949
"65+",1974,10310,1.90153899965023
"65+",1975,9791,1.83726697451685
"65+",1976,10148,1.87960474993499
"65+",1977,9360,1.78424801005446
"65+",1978,9326,1.76511608827631
"65+",1979,8801,1.71038824763903
"65+",1980,9222,1.73669915321936
"65+",1981,9289,1.72923535876904
"65+",1982,9759,1.71264787498174
"65+",1983,10142,1.73996789727127
"65+",1984,10411,1.73586372632174
"65+",1985,10423,1.72664528722811
"65+",1986,11431,1.79669640367996
"65+",1987,10861,1.7295627057164
"65+",1988,11184,1.75567567567568
"65+",1989,10883,1.71214500719801
"65+",1990,11679,1.76313382122321
"65+",1991,11323,1.75325971261309
"65+",1992,11488,1.78378931568534
"65+",1993,11328,1.76287965519564
"65+",1994,10781,1.70385845792257
"65+",1995,11913,1.76204183458069
"65+",1996,11488,1.73316740059991
"65+",1997,12278,1.76584331337325
"65+",1998,12044,1.72936474292981
"65+",1999,12840,1.76124977767238
"65+",2000,12488,1.76099939061548
"65+",2001,12123,1.74029066927211
"65+",2002,11443,1.70401132029039
"65+",2003,11869,1.71911541956983
"65+",2004,12279,1.74913062046245
"65+",2005,12190,1.74342867597731
"65+",2006,12580,1.72754612226014
"65+",2007,12733,1.73469505510357
"65+",2008,13027,1.75170225043278
"65+",2009,12656,1.69332748986524
"65+",2010,12506,1.70539793558576
"65+",2011,14063,1.8036
"65+",2012,12909,1.72141499944115
"65+",2013,13728,1.71911995809324
"65+",2014,14911,1.79389841337451
"65+",2015,14160,1.71900071087641
"65+",2016,14104,1.72029007711557
"65+",2017,14052,1.70245950809838
"65+",2018,14087,1.67722705639152
"65+",2019,15106,1.69245931698373
"65-74",1987,13872,1.91977191353932
"65-74",1988,13929,1.92135203069189
"65-74",1989,13009,1.81987773366106
"65-74",1990,14798,1.94974648610487
"65-74",1991,13217,1.88508672068573
"65-74",1992,13604,1.92456164197363
"65-74",1993,13346,1.88343152181108
"65-74",1994,13303,1.88076006355932
"65-74",1995,15157,1.97768173901825
"65-74",1996,14566,1.92670823259957
"65-74",1997,15152,1.93773981928456
"65-74",1998,14590,1.88790165530672
"65-74",1999,16134,1.95478754882235
"65-74",2000,15718,1.96791674364185
"65-74",2001,15190,1.93684470210929
"65-74",2002,14268,1.88769986934611
"65-74",2003,15353,1.90738770685579
"65-74",2004,16181,1.97066586682663
"65-74",2005,15067,1.89418397626113
"65-74",2006,15500,1.86611533303532
"65-74",2007,16494,1.92398184975632
"65-74",2008,16857,1.95485442392659
"65-74",2009,15342,1.79735980458396
"65-74",2010,15529,1.82051146570855
"65-74",2011,16815,1.89598763787499
"65-74",2012,16204,1.84272935302684
"65-74",2013,14229,1.67136925544966
"65-74",2014,17205,1.83160133404224
