"Age","Year","Sex","Num_thousands","median_current","median_2019","diff_real","rate_real","norm_first","norm_last"
"25-34",1971,"Female",8285,3545,20010,1008,0.0530470476791917,164.029838511353,56.3804908286608
"25-34",1972,"Female",9043,3805,20853,843,0.0421289355322339,170.940241003361,58.7557408920571
"25-34",1973,"Female",9879,4142,21363,510,0.0244569126744353,175.120911550127,60.1927249161759
"25-34",1974,"Female",10674,4514,21165,-198,-0.00926836118522679,173.497827690794,59.6348370009298
"25-34",1975,"Female",11212,5052,21888,723,0.0341601700921332,179.424542995327,61.6719731762982
"25-34",1976,"Female",11943,5372,22008,120,0.00548245614035088,180.408230182802,62.0100870643262
"25-34",1977,"Female",12667,5902,22744,736,0.0334423845874228,186.441511599311,64.0838522442309
"25-34",1978,"Female",14282,5839,21057,-1687,-0.0741734083714386,172.612509222067,59.3305345017047
"25-34",1979,"Female",16854,6350,20917,-140,-0.00664862041126466,171.464874170014,58.9360682990054
"25-34",1980,"Female",17362,6973,20656,-261,-0.0124778887985849,169.325354537257,58.2006705925446
"25-34",1981,"Female",17827,7598,20565,-91,-0.00440549961270333,168.579391753422,57.9442675607901
"25-34",1982,"Female",17973,7972,20349,-216,-0.0105032822757112,166.808754815969,57.3356625623397
"25-34",1983,"Female",18423,8503,20815,466,0.0229003882254656,170.628740060661,58.6486714941816
"25-34",1984,"Female",19017,9392,22073,1258,0.0604371847225558,180.941060742684,62.193232087008
"25-34",1985,"Female",19300,9879,22447,374,0.0169437774656821,184.006885810312,63.2470203713617
"25-34",1986,"Female",19795,10310,23023,576,0.0256604446028422,188.728584310189,64.8699670338959
"25-34",1987,"Female",20188,10979,23702,679,0.0294922468835512,194.294614312649,66.7831281169874
"25-34",1988,"Female",20228,11565,24096,394,0.0166230697831407,197.524387244856,67.8932687160125
"25-34",1989,"Female",20209,12231,24417,321,0.0133217131474104,200.15575047135,68.7977233664873
"25-34",1990,"Female",20035,12589,23950,-467,-0.0191260187574231,196.327567833429,67.4818968189118
"25-34",1991,"Female",19822,12964,23798,-152,-0.00634655532359081,195.081564062628,67.0536192274098
"25-34",1992,"Female",19603,13631,24415,617,0.0259265484494495,200.139355684892,68.7920881350202
"25-34",1993,"Female",19572,13988,24438,23,0.0009420438255171,200.327895729158,68.8568932968922
"25-34",1994,"Female",19174,14884,25472,1034,0.0423111547589819,208.804000327896,71.7703079653997
"25-34",1995,"Female",18856,15557,25997,525,0.0206108668341709,213.107631773096,73.249556225522
"25-34",1996,"Female",18481,16384,26669,672,0.0258491364388199,218.616280022953,75.1429939984785
"25-34",1997,"Female",18081,17647,28117,1448,0.054295249165698,230.486105418477,79.2229015806824
"25-34",1998,"Female",17773,18257,28700,583,0.0207347867837963,235.265185670957,80.8655715533516
"25-34",1999,"Female",17791,19308,29720,1020,0.0355400696864112,243.626526764489,83.7395396015891
"25-34",2000,"Female",17634,21049,31336,1616,0.0543741588156124,256.873514222477,88.2928066270322
"25-34",2001,"Female",17368,21473,31083,-253,-0.00807378095481236,254.799573735552,87.5799498464399
"25-34",2002,"Female",17336,21649,30851,-232,-0.00746388701219316,252.897778506435,86.9262629962526
"25-34",2003,"Female",17156,21992,30644,-207,-0.0067096690544877,251.200918108042,86.3430165394044
"25-34",2004,"Female",17036,22067,29940,-704,-0.0229735021537658,245.429953274859,84.3594150629737
"25-34",2005,"Female",17058,22815,29940,0,0,245.429953274859,84.3594150629737
"25-34",2006,"Female",17151,24179,30734,794,0.0265197060788243,251.938683498647,86.5966019554253
"25-34",2007,"Female",17240,25884,31994,1260,0.0409969414980152,262.267398967128,90.1467977797188
"25-34",2008,"Female",17445,25553,30416,-1578,-0.0493217478277177,249.33191245184,85.7006001521513
"25-34",2009,"Female",17498,25236,30144,-272,-0.00894266175697002,247.102221493565,84.9342086726212
"25-34",2010,"Female",17513,25562,30038,-106,-0.00351645435244161,246.233297811296,84.6355414048632
"25-34",2011,"Female",17635,25723,29303,-735,-0.0244690059258273,240.208213788015,82.564593840692
"25-34",2012,"Female",17815,26173,29197,-106,-0.00361737706036925,239.339290105746,82.265926572934
"25-34",2013,"Female",18230,25689,28239,-958,-0.0328115902318731,231.486187392409,79.5666507001775
"25-34",2014,"Female",18379,26261,28387,148,0.00524097878820072,232.699401590294,79.9836578287453
"25-34",2015,"Female",18859,28825,31105,2718,0.0957480536865467,254.979916386589,87.6419373925784
"25-34",2016,"Female",19268,30501,32495,1390,0.0446873493007555,266.374292974834,91.5584232622355
"25-34",2017,"Female",19392,30601,31915,-580,-0.0178488998307432,261.619804902041,89.9242061367671
"25-34",2018,"Female",19474,32098,32680,765,0.0239699201002663,267.89081072219,92.0796821729453
"25-34",2019,"Female",19893,35491,35491,2811,0.086015911872705,290.933683088778,100
"35-44",1947,"Female",3997,1332,13373,NA,NA,100,33.4316642083948
"35-44",1948,"Female",4304,1333,12392,-981,-0.0733567636282061,92.6643236371794,30.979225519362
"35-44",1949,"Female",4263,1284,12086,-306,-0.0246933505487411,90.3761310102445,30.2142446438839
"35-44",1950,"Female",4433,1308,12160,74,0.00612278669534999,90.9294847827713,30.3992400189995
"35-44",1951,"Female",4661,1538,13251,1091,0.0897203947368421,99.0877140506992,33.1266718332042
"35-44",1952,"Female",5102,1587,13427,176,0.0132820164515886,100.403798698871,33.5666608334792
"35-44",1953,"Female",5342,1601,13455,28,0.00208535041334624,100.613175801989,33.6366590835229
"35-44",1954,"Female",5280,1582,13178,-277,-0.0205871423262728,98.5418380318552,32.9441763955901
